host_id,host_name,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price_category
120223,Jen,Manhattan,40.72245,-73.98527,Entire home/apt,100,4,25,0.23,1,0,cheap
65091,Kay,Brooklyn,40.65593,-73.96053,Private room,75,2,9,0.08,1,324,cheap
6197784,Jo,Brooklyn,40.71923,-73.96468,Private room,90,1,9,0.08,1,245,cheap
124352,Lisa,Manhattan,40.778,-73.94822,Entire home/apt,150,5,21,0.19,1,189,medium
124797,Fernando And Lenin,Manhattan,40.85879,-73.93128,Private room,85,15,36,0.33,1,307,cheap
120335,Cs,Manhattan,40.71341,-73.98856,Entire home/apt,105,3,32,0.29,1,16,medium
117287,Lara,Manhattan,40.76754,-73.98399,Private room,130,2,50,0.45,3,234,medium
135619,Tom,Manhattan,40.73442,-74.00303,Entire home/apt,115,29,26,0.25,1,12,medium
137292,Sunder,Brooklyn,40.63188,-73.93248,Private room,77,2,2,0.02,1,178,cheap
138579,AliScott,Brooklyn,40.73409,-73.95348,Entire home/apt,250,29,3,0.03,1,34,expensive
139612,Elisabeth,Brooklyn,40.71561,-73.94835,Entire home/apt,199,3,10,0.1,1,280,expensive
139874,Sarah,Brooklyn,40.6857,-73.99183,Entire home/apt,140,2,4,0.04,1,0,medium
140025,Fredah,Queens,40.74028,-73.83168,Private room,140,2,1,0.01,1,1,medium
142833,Katherine,Brooklyn,40.71596,-73.93938,Entire home/apt,160,3,11,0.11,1,188,medium
143048,Paula,Manhattan,40.72354,-73.98295,Entire home/apt,195,3,30,0.28,1,248,expensive
149929,Obed,Brooklyn,40.69101,-73.97312,Private room,44,8,27,1.05,5,280,cheap
62165,Michael,Brooklyn,40.67386,-73.96641,Private room,85,15,9,0.09,1,339,cheap
137432,Paz,Brooklyn,40.6741,-73.96595,Entire home/apt,115,15,4,0.05,1,269,medium
157798,Irene,Manhattan,40.79295,-73.93997,Private room,69,2,34,0.32,1,10,cheap
159370,Viviana,Brooklyn,40.71363,-73.96398,Entire home/apt,125,6,27,0.25,1,189,medium
110506,Myung,Queens,40.74559,-73.92313,Private room,79,30,28,0.26,1,126,cheap
171851,Henry,Brooklyn,40.70207,-73.98571,Private room,250,3,14,0.13,1,189,expensive
174025,Sylvia,Manhattan,40.76123,-73.9642,Entire home/apt,250,3,4,0.08,1,365,expensive
181167,Lorenzo,Manhattan,40.82704,-73.94907,Entire home/apt,80,3,2,0.04,1,0,cheap
177536,Tessa,Brooklyn,40.70641,-73.91765,Private room,50,2,47,0.94,1,37,cheap
201297,Myrna,Manhattan,40.73423,-74.0046,Entire home/apt,150,26,38,0.36,1,225,medium
202249,Campbell,Manhattan,40.82374,-73.9373,Entire home/apt,100,2,18,1.79,1,0,cheap
204724,Miyoung,Brooklyn,40.71627,-73.9587,Entire home/apt,200,4,33,0.58,1,1,expensive
8198,Monica,Brooklyn,40.67994,-73.97863,Entire home/apt,150,5,52,0.5,1,18,medium
210746,Kathleen R,Brooklyn,40.67868,-73.97307,Private room,120,3,51,0.48,3,250,medium
214148,Robert,Brooklyn,40.68237,-73.9415,Entire home/apt,175,26,30,0.29,1,364,expensive
214287,Alex,Manhattan,40.74031,-73.99999,Entire home/apt,125,3,3,0.03,1,0,medium
218404,Claudia,Manhattan,40.76307,-73.99665,Entire home/apt,275,1,41,0.38,1,299,expensive
236421,Jessica,Manhattan,40.77333,-73.95199,Private room,130,14,0,0.0,2,0,medium
27848,Jullett,Queens,40.67252,-73.76597,Private room,55,2,52,0.49,2,365,cheap
240360,Marlaine,Manhattan,40.76244,-73.99271,Entire home/apt,195,5,10,1.01,1,0,expensive
247432,Charlotte,Brooklyn,40.69546,-73.93503,Private room,80,2,11,0.48,1,0,cheap
204539,Mark,Queens,40.71722,-73.87856,Entire home/apt,98,30,33,0.31,5,240,cheap
204539,Mark,Queens,40.70234,-73.89816,Private room,140,7,6,0.06,5,365,medium
204539,Mark,Queens,40.71546,-73.87854,Entire home/apt,265,7,38,0.38,5,365,expensive
255583,Anka,Manhattan,40.76548,-73.98474,Shared room,105,6,10,0.09,1,363,medium
253385,Douglas,Manhattan,40.80234,-73.95603,Private room,200,30,0,0.0,1,365,expensive
262138,Tami,Brooklyn,40.6829,-73.93549,Private room,71,2,23,0.22,1,91,cheap
264928,Sally,Brooklyn,40.68656,-73.97525,Private room,68,3,37,0.35,1,0,cheap
272006,Vasili,Queens,40.77185,-73.90502,Entire home/apt,140,2,17,0.16,1,292,medium
275459,I,Manhattan,40.73012,-73.99053,Entire home/apt,239,3,7,0.07,1,351,expensive
277394,Linda,Brooklyn,40.6585,-73.98397,Private room,135,2,21,0.26,1,272,medium
279797,Dave,Manhattan,40.76193,-73.9501,Private room,120,7,17,0.3,1,341,medium
282927,Drica,Manhattan,40.72052,-73.98589,Entire home/apt,150,3,41,0.39,1,244,medium
204539,Mark,Queens,40.70411,-73.89934,Entire home/apt,140,14,1,0.01,5,365,medium
186084,Ricardo  Ashlie,Manhattan,40.71756,-73.99503,Entire home/apt,250,4,18,0.18,2,265,expensive
99212,Jessica,Manhattan,40.73194,-73.99474,Entire home/apt,225,5,10,0.1,1,91,expensive
249372,Cynthia,Manhattan,40.81583,-73.94707,Private room,175,2,1,0.11,1,365,expensive
293394,Rachel,Manhattan,40.80021,-73.96071,Entire home/apt,195,4,4,0.04,1,0,expensive
295760,Greta,Manhattan,40.71961,-73.9954,Entire home/apt,135,2,21,0.2,1,0,medium
297176,Bethania,Manhattan,40.80335,-73.9575,Private room,80,14,10,2.21,2,0,cheap
303882,Brie,Manhattan,40.7268,-73.99079,Entire home/apt,130,50,56,0.58,1,56,medium
308652,Antonín,Brooklyn,40.64106,-73.97426,Private room,39,1,45,0.46,2,365,cheap
310458,Emily,Brooklyn,40.66793,-73.98327,Private room,60,14,9,0.09,2,0,cheap
295128,Carol Gloria,Bronx,40.81309,-73.85514,Private room,90,2,0,0.0,7,349,cheap
310670,Vie,Bronx,40.88057,-73.83572,Entire home/apt,105,2,38,0.5,13,365,medium
311286,Helene,Brooklyn,40.68503,-73.95385,Private room,70,3,36,0.41,4,281,cheap
312288,Paula,Manhattan,40.86648,-73.9263,Private room,75,7,0,0.0,2,323,cheap
312722,Kristian  Di,Brooklyn,40.7069,-73.95467,Private room,60,17,14,0.14,4,362,cheap
146944,David,Manhattan,40.72807,-73.98594,Entire home/apt,200,3,0,0.0,1,0,expensive
311286,Helene,Brooklyn,40.68317,-73.94701,Private room,70,4,18,0.22,4,189,cheap
7310,Tilly,Manhattan,40.71702,-73.99811,Entire home/apt,90,14,1,0.16,1,14,cheap
320422,Marlon,Brooklyn,40.71368,-73.9626,Private room,60,3,0,0.0,1,0,cheap
320450,Mary D,Manhattan,40.72956,-73.98158,Entire home/apt,129,7,5,0.15,1,231,medium
320761,Valerie,Brooklyn,40.71069,-73.95175,Entire home/apt,130,10,49,0.48,1,152,medium
321756,Eric,Manhattan,40.82888,-73.94307,Private room,75,3,20,0.26,1,364,cheap
321934,Jessica,Brooklyn,40.67319,-73.97323,Entire home/apt,175,2,11,0.11,1,246,expensive
322884,Melissa,Brooklyn,40.67846,-73.99443,Entire home/apt,190,3,51,0.57,1,288,expensive
322716,Alex,Brooklyn,40.6715,-73.94808,Private room,49,21,15,0.15,5,331,cheap
325389,Luis Fernando,Brooklyn,40.71031,-73.9583,Entire home/apt,140,2,9,0.11,1,254,medium
101597,Per,Manhattan,40.79603,-73.94903,Entire home/apt,124,28,22,0.26,1,103,medium
330347,Adrienne,Brooklyn,40.71492,-73.96282,Entire home/apt,135,30,56,0.56,1,42,medium
342054,Violetta,Manhattan,40.78971,-73.9729,Entire home/apt,195,11,30,0.32,1,249,expensive
343250,Jason,Brooklyn,40.73119,-73.95578,Private room,125,3,6,0.1,1,325,medium
352168,Silvia,Manhattan,40.78,-73.98249,Entire home/apt,150,30,48,0.55,1,35,medium
155689,Joab,Brooklyn,40.70514,-73.91922,Private room,70,5,47,0.49,1,203,cheap
354330,Eyal,Manhattan,40.73198,-73.98881,Private room,65,3,52,0.63,1,5,cheap
361855,Kurt,Manhattan,40.83494,-73.93869,Entire home/apt,250,3,32,0.43,2,276,expensive
363834,Jennifer,Manhattan,40.71659,-73.98945,Entire home/apt,125,25,43,0.42,1,102,medium
364955,Ruperto,Manhattan,40.72966,-74.00243,Entire home/apt,200,30,39,0.44,1,251,expensive
365153,Ben,Brooklyn,40.72898,-73.95552,Entire home/apt,229,1,50,0.5,1,188,expensive
369015,Thai,Bronx,40.87207,-73.90193,Entire home/apt,90,30,4,0.35,2,346,cheap
373085,Hudson,Manhattan,40.77728,-73.97818,Entire home/apt,110,13,38,0.39,1,0,medium
340692,Vanessa,Brooklyn,40.72646,-73.95341,Private room,59,3,29,0.36,1,15,cheap
331328,Amir,Manhattan,40.80892,-73.93985,Entire home/apt,113,14,26,0.27,3,253,medium
391325,G  S,Manhattan,40.80276,-73.9567,Entire home/apt,250,14,31,0.31,1,78,expensive
394752,Allison,Brooklyn,40.72488,-73.95018,Private room,55,2,1,0.01,1,0,cheap
417504,The Box House Hotel,Brooklyn,40.73749,-73.95292,Private room,179,3,36,0.36,28,79,expensive
134355,Moss Owen,Manhattan,40.76248,-73.9913,Private room,150,3,36,0.36,1,49,medium
422561,Nancy,Brooklyn,40.68674,-73.98876,Entire home/apt,135,4,6,0.1,1,0,medium
438133,Ellis,Brooklyn,40.67542,-73.98142,Entire home/apt,165,30,34,0.51,2,189,expensive
417504,The Box House Hotel,Brooklyn,40.73842,-73.95312,Private room,249,3,2,0.02,28,60,expensive
451545,Ruthven,Brooklyn,40.6824,-73.94615,Entire home/apt,185,3,46,1.07,1,248,expensive
454756,Leslie,Brooklyn,40.68819,-73.97258,Entire home/apt,130,35,5,0.05,1,135,medium
456638,Sophie,Brooklyn,40.7205,-73.96015,Entire home/apt,199,30,8,0.11,1,30,expensive
410094,Yvette,Manhattan,40.72451,-73.98094,Entire home/apt,225,2,33,0.33,1,0,expensive
417504,The Box House Hotel,Brooklyn,40.73813,-73.95394,Private room,179,3,13,0.14,28,81,expensive
459054,Famous,Brooklyn,40.67591,-73.94715,Entire home/apt,150,5,5,0.05,1,0,medium
322716,Alex,Brooklyn,40.66966,-73.94735,Entire home/apt,79,15,11,0.11,5,179,cheap
35375,Savannah,Queens,40.75961,-73.91117,Private room,80,1,42,1.21,2,365,cheap
503800,Sadatu,Brooklyn,40.67473,-73.94494,Entire home/apt,100,90,0,0.0,1,365,cheap
509341,Tessa,Brooklyn,40.71055,-73.95098,Entire home/apt,140,7,13,0.13,1,0,medium
509918,Eduardo,Brooklyn,40.69465,-73.95458,Entire home/apt,200,5,4,0.07,1,9,expensive
116599,Sahr,Brooklyn,40.68413,-73.96542,Private room,165,4,11,0.11,3,365,expensive
31374,Shon,Manhattan,40.73877,-73.97707,Entire home/apt,125,4,1,0.01,3,181,medium
520279,Peter Michael,Manhattan,40.74893,-73.99544,Entire home/apt,130,30,19,0.19,1,189,medium
522164,Wanda,Brooklyn,40.68795,-73.97332,Entire home/apt,123,30,15,0.15,1,189,medium
526653,Unknown,Queens,40.72413,-73.76133,Private room,50,1,43,0.45,1,88,cheap
530032,Lee And Tara,Brooklyn,40.71125,-73.95613,Private room,100,3,31,0.31,1,0,cheap
178043,Chas,Manhattan,40.78558,-73.9696,Entire home/apt,212,21,45,0.46,1,35,expensive
547386,Michelle,Queens,40.58615,-73.81245,Private room,70,27,13,0.13,1,335,cheap
322716,Alex,Brooklyn,40.67086,-73.94872,Entire home/apt,100,30,15,0.16,5,282,cheap
3088389,Kai,Manhattan,40.77944,-73.98567,Entire home/apt,120,5,49,0.56,1,201,medium
568568,Driss,Manhattan,40.74503,-73.98876,Entire home/apt,169,18,54,0.57,1,98,expensive
572527,Marine,Brooklyn,40.67539,-73.96093,Entire home/apt,165,7,3,0.03,1,157,expensive
573316,Kelli,Manhattan,40.8054,-73.95189,Private room,90,1,1,0.02,1,0,cheap
571952,Olivia,Manhattan,40.78491,-73.9508,Entire home/apt,225,2,56,0.57,1,312,expensive
579495,Susi,Brooklyn,40.66527,-73.9886,Entire home/apt,199,14,27,0.28,2,223,expensive
314941,Tony,Manhattan,40.71895,-73.99434,Entire home/apt,211,1,52,0.6,3,361,expensive
582598,Andrey,Manhattan,40.75579,-73.96699,Entire home/apt,145,6,39,0.4,1,0,medium
567187,Jane,Manhattan,40.82399,-73.95328,Private room,65,14,35,0.35,1,283,cheap
585166,Lilly,Queens,40.76434,-73.92132,Entire home/apt,110,4,30,0.32,1,363,medium
585458,Paul,Manhattan,40.74412,-74.00208,Private room,290,2,35,0.36,1,20,expensive
599354,Bobby,Manhattan,40.73067,-73.98702,Private room,87,2,0,0.0,1,0,cheap
138069,Itamar,Brooklyn,40.70665,-73.94061,Entire home/apt,190,4,50,0.51,1,331,expensive
262812,Vikram,Brooklyn,40.72063,-73.95952,Entire home/apt,200,2,29,0.31,1,36,expensive
611716,Elizabeth,Brooklyn,40.67644,-73.98082,Entire home/apt,165,2,23,0.23,2,7,expensive
622855,Rodney,Brooklyn,40.68569,-73.93038,Private room,99,2,38,0.54,2,307,cheap
620288,Eric,Manhattan,40.79918,-73.96607,Private room,85,1,3,0.03,1,0,cheap
23276,Katharine,Brooklyn,40.66862,-73.9926,Entire home/apt,260,30,3,0.03,1,316,expensive
85330,Jean,Queens,40.70925,-73.85262,Entire home/apt,97,3,28,1.21,3,209,cheap
651390,Catherine,Manhattan,40.73215,-74.00922,Entire home/apt,170,4,24,0.25,1,0,expensive
507186,Holly,Brooklyn,40.71109,-73.94332,Entire home/apt,125,2,15,0.15,1,0,medium
652842,Giovanni,Brooklyn,40.71823,-73.95849,Entire home/apt,225,10,22,0.38,1,52,expensive
665013,Jeff,Manhattan,40.74488,-74.001,Entire home/apt,132,4,10,0.1,1,0,medium
663384,Irena,Brooklyn,40.67632,-73.97616,Entire home/apt,250,7,18,0.21,1,18,expensive
674970,Michael,Brooklyn,40.72212,-73.94254,Entire home/apt,141,5,8,0.21,1,9,medium
277747,Josh,Manhattan,40.72485,-73.97813,Entire home/apt,150,4,22,0.23,1,0,medium
616825,Rinaldo,Manhattan,40.80473,-73.9532,Entire home/apt,259,8,17,0.17,1,343,expensive
299755,Jonathan,Manhattan,40.72217,-73.98419,Private room,96,1,34,0.58,1,0,cheap
404424,Oliver,Brooklyn,40.71943,-73.9565,Entire home/apt,145,7,8,0.08,1,0,medium
703156,Kristin,Manhattan,40.74249,-74.00329,Entire home/apt,200,4,0,0.0,1,0,expensive
706418,Carolyn,Manhattan,40.79264,-73.97294,Entire home/apt,95,5,2,0.08,1,0,cheap
709434,Meighan,Brooklyn,40.65749,-73.97675,Entire home/apt,250,4,52,0.72,1,188,expensive
715807,John,Manhattan,40.72831,-74.00177,Entire home/apt,175,3,18,0.19,1,0,expensive
720320,Nancy,Manhattan,40.78508,-73.95332,Entire home/apt,250,4,0,0.0,1,0,expensive
726333,Peter,Manhattan,40.72008,-73.98404,Entire home/apt,250,4,19,0.2,1,0,expensive
216191,M,Brooklyn,40.7102,-73.94495,Private room,98,2,8,0.09,4,0,cheap
731855,Wendy,Brooklyn,40.67359,-73.97904,Entire home/apt,150,2,0,0.0,1,8,medium
731904,Ewelina,Manhattan,40.72674,-73.9782,Private room,95,7,25,0.3,1,359,cheap
733894,Lucy,Queens,40.7385,-73.91806,Private room,42,40,53,0.55,3,236,cheap
745069,Kimberly,Manhattan,40.82426,-73.9463,Private room,75,3,38,0.42,3,365,cheap
656841,Meredith,Brooklyn,40.71624,-73.96272,Entire home/apt,255,45,39,0.5,1,89,expensive
758441,Fred,Brooklyn,40.68669,-73.91989,Private room,165,1,27,0.28,4,311,expensive
759583,Pepe,Brooklyn,40.68288,-73.96024,Private room,75,3,43,0.44,2,365,cheap
762563,Lennny  Megan,Brooklyn,40.72489,-73.95494,Entire home/apt,130,5,4,0.05,1,0,medium
54275,JT And Tiziana,Brooklyn,40.6798,-73.93908,Private room,80,1,39,0.41,3,218,cheap
759883,Kaye,Manhattan,40.74346,-73.99882,Private room,150,2,37,1.79,1,0,medium
769247,Ligia,Manhattan,40.77724,-73.98109,Entire home/apt,200,3,10,0.12,1,0,expensive
733894,Lucy,Queens,40.74102,-73.91681,Private room,42,40,41,0.43,3,246,cheap
772300,Alain,Brooklyn,40.71309,-73.94128,Private room,90,6,3,0.03,1,0,cheap
776645,Placid,Brooklyn,40.67212,-73.9506,Entire home/apt,130,2,29,0.35,1,119,medium
781647,Jorin,Manhattan,40.80523,-73.95139,Entire home/apt,198,5,42,0.44,2,234,expensive
69439,Jade,Manhattan,40.72351,-73.99683,Private room,140,2,54,0.56,1,221,medium
867225,Rahul,Manhattan,40.80525,-73.95916,Private room,75,5,57,0.59,2,201,cheap
733894,Lucy,Queens,40.74,-73.91901,Private room,33,44,31,0.32,3,161,cheap
793620,Yvette,Manhattan,40.84468,-73.94303,Private room,75,2,34,0.35,1,222,cheap
306605,Daniel,Manhattan,40.74342,-73.99483,Entire home/apt,205,9,3,0.04,2,76,expensive
795889,Adam,Brooklyn,40.67853,-73.98089,Entire home/apt,219,5,2,0.03,1,0,expensive
22486,Lisel,Brooklyn,40.6788,-73.97643,Private room,60,1,20,0.21,6,258,cheap
803086,Benton,Manhattan,40.80113,-73.94503,Entire home/apt,250,2,11,0.12,2,68,expensive
747698,Linda  Chris,Manhattan,40.78569,-73.97581,Entire home/apt,175,65,11,0.12,1,358,expensive
805344,Alec,Manhattan,40.82411,-73.94934,Private room,65,2,41,0.43,2,59,cheap
807642,Jeffrey,Brooklyn,40.60452,-73.97103,Entire home/apt,106,7,0,0.0,2,0,medium
812814,Lena,Manhattan,40.7932,-73.94007,Entire home/apt,79,2,15,0.16,1,0,cheap
67778,Doug,Brooklyn,40.68768,-73.97611,Private room,85,2,35,0.55,2,161,cheap
803086,Benton,Manhattan,40.80224,-73.94558,Private room,170,2,17,0.18,2,88,expensive
302772,Cheryl,Manhattan,40.71473,-73.98842,Private room,115,3,3,0.04,2,337,medium
781647,Jorin,Manhattan,40.80518,-73.95359,Private room,89,5,43,0.47,2,247,cheap
833926,Kris,Brooklyn,40.69055,-73.92357,Entire home/apt,150,2,11,0.46,1,0,medium
842125,Jennifer,Brooklyn,40.67505,-73.95969,Entire home/apt,97,3,31,0.32,1,193,cheap
844862,Cj,Manhattan,40.72974,-73.98201,Private room,100,4,49,0.51,2,43,cheap
846309,Dani,Brooklyn,40.70925,-73.95425,Entire home/apt,179,4,23,0.24,1,25,expensive
314941,Tony,Manhattan,40.72133,-73.99666,Entire home/apt,300,1,6,0.06,3,115,expensive
864735,Jason,Queens,40.75744,-73.92163,Entire home/apt,107,30,21,0.22,8,200,medium
864735,Jason,Queens,40.75695,-73.9202,Entire home/apt,95,30,24,0.26,8,271,cheap
871727,Village,Manhattan,40.73712,-74.00166,Private room,100,30,5,0.07,1,359,cheap
904833,Daniel,Manhattan,40.73862,-73.99758,Entire home/apt,250,1,2,0.02,1,0,expensive
912541,David,Manhattan,40.74695,-74.00454,Private room,255,4,1,0.02,1,365,expensive
918866,Marina,Manhattan,40.76684,-73.95944,Entire home/apt,169,7,39,0.41,1,44,expensive
920542,Farrah,Brooklyn,40.68967,-73.95445,Entire home/apt,160,3,42,0.44,1,355,medium
922922,Karen,Brooklyn,40.67946,-73.96501,Entire home/apt,215,3,33,0.35,1,156,expensive
936114,Marcela,Manhattan,40.7709,-73.99181,Private room,150,28,43,0.45,2,258,medium
302936,Melody,Brooklyn,40.71943,-73.95958,Private room,65,30,52,0.54,1,276,cheap
48599,Anastasia,Manhattan,40.74033,-74.00024,Entire home/apt,149,6,23,0.27,2,0,medium
936830,Elina,Manhattan,40.7969,-73.96128,Private room,89,6,35,0.37,1,180,cheap
304493,Erika,Brooklyn,40.70275,-73.94501,Private room,85,1,46,0.97,1,59,cheap
953565,Vanessa,Brooklyn,40.67595,-73.98053,Entire home/apt,265,5,15,0.16,1,0,expensive
971075,Jabari,Manhattan,40.82922,-73.94174,Private room,75,3,50,0.65,2,38,cheap
933378,Edo,Manhattan,40.76739,-73.9557,Shared room,90,1,0,0.0,1,0,cheap
568325,Simone,Manhattan,40.73089,-73.98195,Entire home/apt,160,30,25,0.26,1,46,medium
1000477,Elizabeth,Manhattan,40.7694,-73.9572,Entire home/apt,190,1,8,0.08,1,0,expensive
51038,Erica,Brooklyn,40.68634,-73.96161,Entire home/apt,248,2,58,0.61,6,199,expensive
903686,Melanie,Brooklyn,40.7093,-73.9497,Private room,100,6,8,0.09,1,249,cheap
1011426,Danielle,Brooklyn,40.68364,-73.91076,Private room,41,2,55,0.59,1,286,cheap
1014639,Brett,Brooklyn,40.68765,-73.97073,Entire home/apt,157,2,4,0.18,1,0,medium
1017473,Evan,Brooklyn,40.71413,-73.96596,Entire home/apt,195,14,31,0.33,1,263,expensive
1024355,Martina,Brooklyn,40.71973,-73.95582,Entire home/apt,185,3,14,0.15,1,0,expensive
1029021,Jameelah,Brooklyn,40.69025,-73.93323,Entire home/apt,145,3,30,0.32,3,11,medium
666271,Susan,Manhattan,40.73854,-74.00821,Private room,80,90,9,0.2,1,338,cheap
1096084,Daniel,Brooklyn,40.67688,-73.9859,Entire home/apt,100,7,9,0.1,1,0,cheap
293130,Meli,Brooklyn,40.70051,-73.92204,Private room,40,1,1,0.37,1,5,cheap
800223,Nader,Manhattan,40.71712,-73.98898,Private room,200,30,25,0.49,1,0,expensive
1109658,Carmel,Staten Island,40.60742,-74.14388,Private room,80,2,2,0.05,1,158,cheap
864735,Jason,Queens,40.75627,-73.9211,Entire home/apt,95,30,24,0.25,8,358,cheap
1114587,Keenan  Emily,Manhattan,40.79816,-73.9619,Entire home/apt,300,2,45,0.47,3,31,expensive
1121193,Samuel,Brooklyn,40.61927,-74.0307,Entire home/apt,100,30,7,0.08,1,241,cheap
1129218,Orlando,Manhattan,40.8078,-73.95208,Private room,80,7,19,0.35,1,285,cheap
447754,Yana,Brooklyn,40.61922,-73.99399,Entire home/apt,110,1,24,0.26,1,183,medium
759583,Pepe,Brooklyn,40.68275,-73.96148,Entire home/apt,172,4,8,0.09,2,189,expensive
1138692,Keera Jena,Manhattan,40.71813,-73.98416,Entire home/apt,199,1,29,0.31,2,162,expensive
1138692,Keera Jena,Manhattan,40.71892,-73.98401,Entire home/apt,199,1,14,0.15,2,158,expensive
1139574,Carmel,Manhattan,40.816,-73.95545,Private room,100,1,33,0.38,1,84,cheap
846050,Eziah,Manhattan,40.72956,-73.99287,Private room,250,2,0,0.0,1,0,expensive
1146744,Deborah,Brooklyn,40.72595,-73.95298,Entire home/apt,116,29,22,0.23,1,335,medium
22486,Lisel,Brooklyn,40.68012,-73.97847,Private room,120,2,23,0.24,6,342,medium
1153993,Anton,Manhattan,40.74233,-73.99865,Entire home/apt,199,4,32,0.34,1,28,expensive
1164642,Rosalynn,Brooklyn,40.67424,-73.96665,Entire home/apt,150,5,24,0.25,1,363,medium
